OrderID,CustomerName,Phone,State,Product,Price,Quantity,OrderDate,PaymentStatus,Email
1,CHINEDU OKAFOR,08041849539,PORT HARCOURT,samsung phone,,1.0,2024-11-02,failed,chinedu@email.com
2,janet olawale,08028915945,KADUNA,samsung phone,,1.0,,pending,chinedu@email.com
3,janet olawale,,ENUGU,hp laptop,,1.0,,paid,kingsley@mail.com
4,ferdinand nwoke,08090746007,LAGOS,hp laptop,,1.0,,pending,chika@mail.com
5,CHINEDU OKAFOR,08064825289,ABUJA,hp laptop,,3.0,,pending,chika@mail.com
6,joy okafor,08065133325,PORT HARCOURT,infinix phone,,3.0,,paid,unkwoknemail@gmail.com
7,amaka obinna,08046246872,KADUNA,hp laptop,,1.0,,paid,chinedu@email.com
8,ferdinand nwoke,08053848527,PORT HARCOURT,iphone x,,3.0,,paid,abdul@mail
9,janet olawale,08001797745,ABUJA,samsung phone,,1.0,,failed,chinedu@email.com
10,Blessing Okorie,08097726773,JOS,samsung phone,,1.0,2024-11-30,paid,unkwoknemail@gmail.com
11,sarah ben,,LAGOS,samsung phone,,1.0,,pending,sarah@mail
12,amaka obinna,,KADUNA,samsung phone,,2.0,,paid,adefemi@mail
13,ABDUL BELLO,,JOS,samsung phone,,1.0,,paid,kingsley@mail.com
14,CHINEDU OKAFOR,,JOS,hp laptop,,1.0,,paid,amina@email.com
15,janet olawale,,JOS,hp laptop,,1.0,2024-11-16,pending,sarah@mail
16,amaka obinna,08061924121,ENUGU,hp laptop,,2.0,,failed,kingsley@mail.com
17,TUNDE BAKARE,08091485861,PORT HARCOURT,airpods,,1.0,,pending,emeka@mail.com
18,adebayo femi,,PORT HARCOURT,infinix phone,,1.0,,paid,oluchioke@mail
19,joy okafor,08096011435,ABUJA,airpods,,1.0,,paid,blessing@mail.com
20,amina ibrahim,,KADUNA,airpods,,3.0,2024-10-07,paid,unkwoknemail@gmail.com
21,sarah ben,,LAGOS,samsung phone,,1.0,,pending,janet@mail.com
22,oluchi oke,,LAGOS,airpods,,1.0,,pending, no email
23,Michael Peters,08017857913,PORT HARCOURT,airpods,,2.0,,paid,abdul@mail
24,gbenga isaac,,LAGOS,iphone x,,1.0,,paid, no email
25,oluchi oke,,KADUNA,samsung phone,,3.0,,paid, no email
26,Michael Peters,08056641464,JOS,samsung phone,,1.0,,pending,sarah@mail
27,ferdinand nwoke,08063422205,LAGOS,infinix phone,,1.0,2024-10-27,paid,adefemi@mail
28,ferdinand nwoke,08041499395,KADUNA,infinix phone,,2.0,2024-11-07,failed,unkwoknemail@gmail.com
29,ferdinand nwoke,,JOS,airpods,,3.0,,pending, no email
30,VICTOR ADE,,LAGOS,airpods,,1.0,,paid,unkwoknemail@gmail.com
31,Michael Peters,08027449762,ENUGU,airpods,,3.0,,paid,unkwoknemail@gmail.com
32,CHINEDU OKAFOR,08029621722,ENUGU,iphone x,,3.0,,paid,oluchioke@mail
33,gbenga isaac,,LAGOS,iphone x,,3.0,,paid,unkwoknemail@gmail.com
34,sarah ben,,KADUNA,airpods,,2.0,2024-10-20,paid,danokoro@mail
35,amina ibrahim,08036631619,LAGOS,airpods,,1.0,,pending,kingsley@mail.com
36,musa danjuma,,PORT HARCOURT,iphone x,,3.0,,pending,emeka@mail.com
37,FAITH JOHN,08044790466,ABUJA,iphone x,,1.0,,failed,blessing@mail.com
38,adebayo femi,08067001270,KADUNA,hp laptop,,2.0,,pending,esther@mail.com
39,Chinedu Okafor,08049851196,KADUNA,iphone x,,3.0,,paid,adefemi@mail
40,adebayo femi,,PORT HARCOURT,infinix phone,,1.0,,failed,musa@mail.com
41,janet olawale,08031943391,LAGOS,infinix phone,,3.0,2024-11-04,pending,blessing@mail.com
42,ferdinand nwoke,08039384168,LAGOS,hp laptop,,2.0,,failed,amaka@
43,EMEKA UZO,08025904029,ABUJA,hp laptop,,1.0,,pending, no email
44,EMEKA UZO,08026035513,ENUGU,samsung phone,,2.0,2024-10-01,paid,danokoro@mail
45,Chinedu Okafor,,ENUGU,iphone x,,2.0,,paid,musa@mail.com
46,ifeoma igwe,08026196082,JOS,airpods,,2.0,,paid,danokoro@mail
47,oluchi oke,08004038667,ABUJA,infinix phone,,1.0,,failed,unkwoknemail@gmail.com
48,adebayo femi,08041812340,LAGOS,hp laptop,,1.0,2024-11-03,pending,adefemi@mail
49,oluchi oke,08094309131,PORT HARCOURT,iphone x,,1.0,,pending,adefemi@mail
50,KINGSLEY ONU,08026753212,KADUNA,samsung phone,,1.0,2024-10-07,pending,musa@mail.com
51,sarah ben,,ENUGU,infinix phone,,2.0,,failed,esther@mail.com
52,Blessing Okorie,,ABUJA,airpods,,3.0,,pending,esther@mail.com
53,CHIKA ONUOHA,,JOS,hp laptop,,2.0,,failed,faith@gmail.com
54,FAITH JOHN,,ENUGU,iphone x,,1.0,,failed,blessing@mail.com
55,janet olawale,,KADUNA,infinix phone,,3.0,2024-10-02,failed,janet@mail.com
56,EMEKA UZO,,KADUNA,iphone x,,1.0,2024-11-09,pending,musa@mail.com
57,ESTHER JOHN,,LAGOS,hp laptop,,3.0,2024-10-16,failed,blessing@mail.com
58,daniel okoro,,PORT HARCOURT,iphone x,,1.0,,pending,amaka@
59,EMEKA UZO,,ENUGU,hp laptop,,2.0,,pending,adefemi@mail
60,GRACE DANIEL,08023740127,LAGOS,samsung phone,,1.0,,pending,unkwoknemail@gmail.com
61,ABDUL BELLO,,JOS,iphone x,,3.0,,pending,kingsley@mail.com
62,VICTOR ADE,08072764093,ABUJA,iphone x,,2.0,,failed,unkwoknemail@gmail.com
63,gbenga isaac,08031909061,KADUNA,airpods,,2.0,,pending,kingsley@mail.com
64,EMEKA UZO,08047992398,ENUGU,hp laptop,,1.0,,pending,kingsley@mail.com
65,FAITH JOHN,08064102765,KADUNA,airpods,,1.0,,paid,faith@gmail.com
66,TUNDE BAKARE,08063325442,ABUJA,samsung phone,,1.0,,failed,chika@mail.com
67,EMEKA UZO,,LAGOS,airpods,,1.0,,pending,unkwoknemail@gmail.com
68,joy okafor,08082525495,LAGOS,samsung phone,,1.0,,failed,unkwoknemail@gmail.com
69,ferdinand nwoke,08048751253,KADUNA,hp laptop,,1.0,,pending,adefemi@mail
70,oluchi oke,08006086828,PORT HARCOURT,iphone x,,3.0,2024-11-21,pending,oluchioke@mail
71,Chinedu Okafor,08042788803,KADUNA,hp laptop,,3.0,,pending,musa@mail.com
72,oluchi oke,08097041348,JOS,airpods,,1.0,,paid,unkwoknemail@gmail.com
73,janet olawale,,ABUJA,samsung phone,,1.0,,paid,danokoro@mail
74,TUNDE BAKARE,08069558210,LAGOS,airpods,,1.0,,pending,janet@mail.com
75,janet olawale,08059328146,JOS,infinix phone,,1.0,,failed,chika@mail.com
76,CHIKA ONUOHA,,KADUNA,iphone x,,1.0,,pending,danokoro@mail
77,janet olawale,08028282216,PORT HARCOURT,samsung phone,,1.0,,failed,gbenga@
78,amaka obinna,08057869599,KADUNA,iphone x,,3.0,2024-11-24,pending,blessing@mail.com
79,adebayo femi,08029656436,KADUNA,samsung phone,,1.0,,paid,emeka@mail.com
80,janet olawale,08012505134,PORT HARCOURT,airpods,,3.0,2024-10-20,pending,oluchioke@mail
81,Blessing Okorie,08064377855,LAGOS,airpods,,1.0,,paid,gbenga@
82,adebayo femi,,LAGOS,iphone x,,2.0,,pending,chinedu@email.com
83,ESTHER JOHN,08077633354,KADUNA,hp laptop,,1.0,,failed,amaka@
84,daniel okoro,,KADUNA,iphone x,,1.0,,pending,unkwoknemail@gmail.com
85,Chinedu Okafor,08048248540,ABUJA,iphone x,,3.0,,failed,unkwoknemail@gmail.com
86,Michael Peters,08064846417,LAGOS,iphone x,,1.0,,failed,blessing@mail.com
87,musa danjuma,08068795170,LAGOS,hp laptop,,1.0,,pending,abdul@mail
88,CHIKA ONUOHA,08095913845,ABUJA,airpods,,1.0,,pending,amaka@
89,VICTOR ADE,08002712566,PORT HARCOURT,airpods,,1.0,,paid,no email
90,musa danjuma,,KADUNA,infinix phone,,1.0,,failed,abdul@mail
91,Blessing Okorie,,PORT HARCOURT,samsung phone,,1.0,,pending,unkwoknemail@gmail.com
92,adebayo femi,08098245309,JOS,iphone x,,1.0,2024-11-29,paid,unkwoknemail@gmail.com
93,daniel okoro,,LAGOS,samsung phone,,1.0,,pending,abdul@mail
94,VICTOR ADE,,JOS,infinix phone,,2.0,,pending,chika@mail.com
95,TUNDE BAKARE,08055516602,ABUJA,hp laptop,,3.0,,pending,oluchioke@mail
96,Michael Peters,08014822151,KADUNA,airpods,,3.0,2024-11-25,pending,chinedu@email.com
97,joy okafor,,JOS,iphone x,,1.0,,failed,esther@mail.com
98,amaka obinna,08008676189,ENUGU,infinix phone,,1.0,,failed,amaka@
99,Chinedu Okafor,08075293649,LAGOS,airpods,,2.0,,failed, no email
100,ifeoma igwe,08043522050,KADUNA,hp laptop,,3.0,,pending,chika@mail.com
101,ifeoma igwe,,LAGOS,iphone x,,3.0,,paid,kingsley@mail.com
102,sarah ben,08093164486,ENUGU,iphone x,,2.0,,failed,amina@email.com
103,VICTOR ADE,08076016624,KADUNA,airpods,,3.0,,failed,amina@email.com
104,VICTOR ADE,,PORT HARCOURT,iphone x,,3.0,,paid, no email
