OrderID,CustomerName,Phone,State,Product,Price,Quantity,OrderDate,PaymentStatus,Email
1, CHINEDU OKAFOR ,08041849539,PORT HARCOURT,SAMSUNG PHONE,"120,000",,Nov 02 2024,FAILED,CHINEDU@EMAIL.COM
2,janet olawale,08028915945,Kaduna,samsung phone,250.000,1,05-10-2024,pending,CHINEDU@EMAIL.COM
3,janet olawale,not available,enugu,HP laptop,"35,000",,14-10-2024,Paid,kingsley@mail.com
4,ferdinand  nwoke,0809 074 6007,Lagos,HP Laptop,250000,,14-10-2024,Pending,chika@mail.com
5, CHINEDU OKAFOR ,0806 482 5289,Abuja,HP Laptop,250.000,3,10/11/2024,Pending,chika@mail.com
6,joy okafor,0806 513 3325,PORT HARCOURT,infinix phone,450.000,3,2024-11-29,Paid,
7,  amaka obinna,0804-624-6872,KADUNA,hp laptop,"120,000",1,19-10-2024,Paid,CHINEDU@EMAIL.COM
8,ferdinand  nwoke,0805 384 8527,PORT HARCOURT,iPhone X,120000,3,2024-10-07,Paid,abdul@mail
9,janet olawale,0800-179-7745,Abuja,SAMSUNG PHONE,250.000,,08-11-2024,failed,CHINEDU@EMAIL.COM
10,  Blessing Okorie,0809 772 6773,JOS,Samsung Phone,150.000,1,Nov 30 2024,Paid,
11,sarah ben,not available,lagos,SAMSUNG PHONE,250.000,,2024/10/15,pending,sarah@mail
12,  amaka obinna,,Kaduna,samsung phone,"120,000",2,11/11/2024,Paid,adefemi@mail
13,ABDUL  BELLO,not available,JOS,Samsung Phone,150000,1,16/10/2024,paid,kingsley@mail.com
14, CHINEDU OKAFOR ,not available,Jos,HP laptop,250.000,1,2024-10-02,PAID,amina@email.COM
15,janet olawale,,JOS,HP Laptop,"450,000",1,Nov 16 2024,PENDING,sarah@mail
16,  amaka obinna,0806 192 4121,ENUGU,hp laptop,"35,000",2,07-10-2024,failed,kingsley@mail.com
17,TUNDE BAKARE,0809-148-5861,PORT HARCOURT,airpods,450000,,2024-11-04,pending,EMEKA@MAIL.COM
18,adebayo   femi,,port harcourt,infinix phone,150.000,,19/10/2024,paid,oluchioke@mail
19,joy okafor,08096011435,Abuja,airpods,450000,,2024/10/14,Paid,blessing@mail.com
20,amina ibrahim,,Kaduna,AirPods,"250,000",3,Oct 07 2024,paid,
21,sarah ben,not available,LAGOS,SAMSUNG PHONE,250000,1,17-10-2024,pending,janet@mail.com
22,oluchi oke,,LAGOS,AirPods,150000,,02-10-2024,PENDING, no email
23,Michael  Peters,08017857913,port harcourt,AirPods,"150,000",2,24-10-2024,Paid,abdul@mail
24,gbenga isaac,,Lagos,Iphone X,35000,1,11-10-2024,Paid, no email
25,oluchi oke,not available,KADUNA,Samsung Phone,150000,3,16-10-2024,paid, no email
26,Michael  Peters,08056641464,Jos,SAMSUNG PHONE,"150,000",,2024/11/29,pending,sarah@mail
27,ferdinand  nwoke,08063422205,Lagos,Infinix Phone,450000,1,Oct 27 2024,paid,adefemi@mail
28,ferdinand  nwoke,0804 149 9395,KADUNA,infinix phone,120000,2,Nov 07 2024,FAILED,
29,ferdinand  nwoke,not available,Jos,AirPods,150.000,3,09-11-2024,PENDING, no email
30,VICTOR ADE,not available,Lagos,airpods,250.000,,2024-10-09,PAID,
31,Michael  Peters,0802 744 9762,enugu,airpods,"150,000",3,09-11-2024,Paid,
32, CHINEDU OKAFOR ,08029621722,enugu,Iphone X,250.000,3,13/10/2024,Paid,oluchioke@mail
33,gbenga isaac,not available,LAGOS,iphone x,250.000,3,2024-10-20,PAID,
